Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,Other,Others,Expat Arabs,Male,30,Prepaid,VLV,5,4,125,10,10,,10,10,,10,,,
Mobily,Other,Others,Nationals,Male,23,Prepaid,VLV,4,3,75,8,2,,9,7,,7,9,8,
Mobily,JEDDAH,Western,Expat Arabs,Female,31,Prepaid,VLV,5,4,125,7,6,,6,7,,6,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,18,Postpaid,VLV,4,4,100,8,9,,9,9,9,10,8,9,8
Mobily,AR RIYADH,Central,Nationals,Male,39,Prepaid,VLV,5,3,100,8,10,,10,0,10,10,,,10
Mobily,BURAYDAH,Central,Nationals,Male,27,Prepaid,VLV,3,2,25,4,6,5,5,5,10,3,5,,
Mobily,Other,Others,Expat Asians,Male,36,Prepaid,VLV,5,2,75,10,10,,10,5,,10,,,10
Mobily,Other,Others,Nationals,Male,34,Prepaid,MV,1,3,0,8,9,,9,8,,7,,8,
Mobily,JEDDAH,Western,Nationals,Female,32,Prepaid,HV,5,5,150,10,10,,10,10,,8,,,
Mobily,JEDDAH,Western,Nationals,Female,18,Prepaid,MV,5,5,150,10,10,,8,10,,9,,,
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,28,Postpaid,LV,3,3,50,0,10,,5,10,10,10,10,10,
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,30,Prepaid,LV,5,5,150,6,7,,10,10,,10,,,
Mobily,AD DAMMAM,Eastern,Nationals,Female,20,Postpaid,VLV,2,2,0,7,6,,6,5,,10,,,
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,34,Prepaid,VLV,3,1,0,6,5,,6,8,8,3,,,
Mobily,JEDDAH,Western,Nationals,Female,29,Postpaid,HV,4,4,100,10,8,9,10,10,8,9,,10,
Mobily,AR RIYADH,Central,Nationals,Female,39,Postpaid,VHV,4,3,75,5,5,,5,8,,5,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,32,Prepaid,LV,5,3,100,6,8,,9,8,,6,,,10
Mobily,AL JUBAIL,Eastern,Nationals,Female,40,Postpaid,VLV,3,4,75,8,10,,10,10,,,,,
Mobily,JEDDAH,Western,Nationals,Male,21,Prepaid,MV,3,5,100,5,10,,10,3,10,8,,,
Mobily,AL JUBAIL,Eastern,Nationals,Male,28,Postpaid,LV,4,3,75,5,8,,7,7,7,7,,7,
Mobily,JEDDAH,Western,Nationals,Female,42,Postpaid,LV,5,5,150,8,8,,10,10,10,10,,10,
Mobily,AR RIYADH,Central,Nationals,Male,22,Prepaid,MV,3,3,50,10,6,,10,9,10,7,7,,5
Mobily,AR RIYADH,Central,Nationals,Female,50,Prepaid,MV,4,5,125,7,,,7,8,,,,,
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,22,Postpaid,LV,4,4,100,9,10,,9,8,10,10,,10,
Mobily,AR RIYADH,Central,Expat Asians,Male,27,Prepaid,VLV,3,3,50,6,6,,10,5,5,10,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,31,Postpaid,MV,4,4,100,8,5,,8,6,9,8,,8,
Mobily,AR RIYADH,Central,Nationals,Male,28,Prepaid,VLV,2,1,-25,6,5,,0,0,10,0,9,9,1
Mobily,AL KHUBAR,Eastern,Nationals,Male,30,Prepaid,HV,5,5,150,10,10,,10,10,,10,10,10,
Mobily,JIZAN,South,Nationals,Male,30,Prepaid,VLV,5,4,125,10,10,,10,10,,10,,,
Mobily,Other,Others,Nationals,Female,31,Postpaid,LV,3,4,75,8,,,9,8,,8,,,
Mobily,YANBU AN NAKHL,Northern,Expat Arabs,Male,30,Prepaid,VLV,2,4,50,8,9,,10,8,,8,6,5,
Mobily,JEDDAH,Western,Nationals,Male,25,Postpaid,HV,2,1,-25,10,7,,7,1,,2,7,,
Mobily,JEDDAH,Western,Nationals,Female,25,Prepaid,LV,4,5,125,10,10,,10,10,,10,7,10,
